"PVWatts Hourly PV Performance Data"
"Requested Location","94123, USA"
"Location","Lat, Lng: 37.81, -122.42"
"Latitude (DD)","37.81"
"Longitude (DD)","-122.42"
"Elevation (m)","0"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","13","22","0","0","13","2.9","0.07","0","13","0","0"
"7","13","23","0","0","13","2.9","0.07","0","13","0","0"
"7","14","0","0","0","12","2.9","0.07","0","12","0","0"
"7","14","1","0","0","12","2.8","0.07","0","12","0","0"
"7","14","2","0","0","12","2.7","0.07","0","12","0","0"
"7","14","3","0","0","11","2.6","0.07","0","11","0","0"
"7","14","4","0","0","11","2.5","0.07","0","11","0","0"
"7","14","5","223","28","12","2.5","0.07","21.241","12.434","13660.871","9213.249"
"7","14","6","0","68","14","2.3","0.07","62.674","15.421","51445.349","45658.873"
"7","14","7","0","111","16","2","0.07","102.793","18.468","84521.476","77562.981"
"7","14","8","0","141","17","1.8","0.07","131.089","20.269","106663.251","98920.185"
"7","14","9","8","217","18","1.8","0.07","209.076","23.2","169558.161","159586.479"
"7","14","10","7","196","19","1.9","0.07","189.849","23.616","152253.683","142895.168"
"7","14","11","23","351","20","2.1","0.07","354.471","28.271","284330.502","270291.979"
"7","14","12","31","387","20","2.3","0.07","406.252","29.117","325963.952","310450.191"
"7","14","13","21","332","20","2.5","0.07","333.349","27.209","268284.094","254814.16"
"7","14","14","13","256","19","2.7","0.07","251.162","24.245","203472.41","192299.011"
"7","14","15","7","201","18","2.8","0.07","192.396","21.956","156966.072","147440.578"
"7","14","16","0","102","17","2.8","0.07","94.688","18.953","76928.733","70239.28"
"7","14","17","0","64","15","3","0.07","59.333","16.187","48421.11","42741.795"
"7","14","18","0","10","14","3","0.07","9.235","14.184","6899.76","2691.712"
"7","14","19","0","0","13","2.8","0.07","0","0","0","0"
"7","14","20","0","0","12","2.8","0.07","0","12","0","0"
"7","14","21","0","0","12","2.7","0.07","0","12","0","0"
"7","14","22","0","0","12","2.6","0.07","0","12","0","0"
"7","14","23","0","0","12","2.4","0.07","0","12","0","0"
"7","15","0","0","0","12","2.3","0.07","0","12","0","0"
"7","15","1","0","0","12","2.2","0.07","0","12","0","0"
"7","15","2","0","0","12","2","0.07","0","12","0","0"
"7","15","3","0","0","11","1.7","0.07","0","11","0","0"
"7","15","4","0","0","11","1.5","0.07","0","11","0","0"
"7","15","5","133","31","12","1.2","0.07","23.73","12.631","14938.337","10445.45"
"7","15","6","487","77","14","0.8","0.07","150.891","18.525","105359.53","97662.66"
"7","15","7","0","91","15","0.6","0.07","84.385","17.828","69030.854","62621.254"
"7","15","8","0","148","17","0.7","0.07","137.62","21.469","111667.388","103747.006"
"7","15","9","9","224","18","1.1","0.07","216.473","24.317","175039.817","164873.898"
"7","15","10","46","380","19","1.6","0.07","407.901","29.579","328283.362","312687.414"
"7","15","11","162","473","20","2","0.07","627.17","34.953","499873.384","478197.32"
"7","15","12","83","460","20","2.4","0.07","530.832","31.697","425495.014","406454.472"
"7","15","13","112","451","20","2.7","0.07","551.61","31.518","444080.188","424381.099"
